Item_ID,Agg_Level,Forecast,RMSE,MAPE
1267746,Division,RandomForest,22887.96,24.01
1267261,Division,RandomForest,6658.3,10.91
1267504,Division,RandomForest,9057.24,21.55
1267319,Division,RandomForest,4530.14,9.67
1269603,Division,RandomForest,6559.26,16.88
1269685,Division,RandomForest,5706.49,59.23
1267128,Division,RandomForest,2487.1,18.15
1269461,Division,RandomForest,4529.34,52.15
1269810,Division,RandomForest,5760.66,49.43
1267908,Division,RandomForest,1485.06,11.89
1270707,Division,RandomForest,6122.55,53.01
1267133,Division,RandomForest,1611.24,15.5
1270349,Division,RandomForest,1302.22,15.92
1268762,Division,RandomForest,3424.05,81.03
1267375,Division,RandomForest,3237.29,24.77
1269903,Division,RandomForest,1059.61,62.22
1270709,Division,RandomForest,488.8,29.57
1269265,Division,RandomForest,264.13,13.97
1269987,Division,RandomForest,448.08,25.14
1269237,Division,RandomForest,402.41,23.86
1267746,Cluster,RandomForest,19859.81,18.11
1267261,Cluster,RandomForest,7375.21,12.41
1267504,Cluster,RandomForest,8240.58,16.79
1267319,Cluster,RandomForest,4906.92,10.04
1269603,Cluster,RandomForest,3828.66,8.95
1269685,Cluster,RandomForest,4455.46,40.18
1267128,Cluster,RandomForest,2507.72,19.03
1269461,Cluster,RandomForest,4235.61,43.25
1269810,Cluster,RandomForest,5698.84,57.53
1267908,Cluster,RandomForest,995.11,7.55
1270707,Cluster,RandomForest,5546.36,47.64
1267133,Cluster,RandomForest,1374.31,12.46
1270349,Cluster,RandomForest,1599.4,21.75
1268762,Cluster,RandomForest,4399.67,104.63
1267375,Cluster,RandomForest,2289.47,22.18
1269903,Cluster,RandomForest,1032.95,60.23
1270709,Cluster,RandomForest,451.49,26.65
1269265,Cluster,RandomForest,243.26,13.93
1269987,Cluster,RandomForest,341.15,21.15
1269237,Cluster,RandomForest,361.48,21.79
